data,datasa
33938.4,33895.4
33681.7,34736.7
34259.8,35476.7
38083.8,35854.9
36814.5,36965.2
36851.0,37881.2
37559.6,38680.1
41692.6,39391.2
39735.0,40047.7
39815.8,40803.8
40820.8,41833.7
44328.3,42014.7
42258.9,42683.1
42763.8,43705.5
43786.4,44810.9
47922.0,45531.6
45987.1,46475.9
46774.0,47668.1
47897.1,49008.9
52578.2,50083.4
50179.7,50622.8
51223.7,52067.4
51593.9,52862.4
56841.6,54286.4
54892.3,55198.1
55794.7,56608.6
56683.0,58165.3
62155.7,59553.6
61185.3,61264.0
61898.2,62744.2
62571.0,64326.6
68698.5,66018.2
67957.8,67730.3
68355.2,69240.2
68610.8,70678.9
75000.3,72274.7
74121.9,73458.2
74321.3,75278.3
75117.2,77555.1
81719.1,78987.8
81089.0,79845.0
80056.4,81123.8
79178.8,81954.2
86236.1,83637.2
87239.9,85330.5
84909.7,86209.4
84716.1,87817.1
92382.7,89891.4
95058.1,92581.3
92412.4,94032.3
92553.7,95998.1
101370.2,98782.7
105104.3,102262.2
102560.7,104574.6
103064.2,106595.7
111567.7,108864.4
114000.5,111030.3
110633.5,113090.9
110325.6,113584.9
120038.4,117292.0
119698.6,116649.3
115951.0,118803.5
117335.2,119988.4
121222.0,118765.7
105083.2,102403.1
99977.3,102724.0
103112.2,105068.0
109497.9,107475.5
113804.7,111021.5
111499.7,114580.4
117174.7,119130.3
125509.5,123256.5
128813.5,125902.0
124555.5,127794.7
126398.2,128507.2
131839.4,129402.7
132528.3,129928.1
131537.0,134655.2
134384.5,136571.9
142794.3,140089.0
147309.3,144833.9
144607.3,147723.7
146327.1,148684.4
151589.3,148591.0
149370.0,147306.2
143647.9,146485.2
144655.1,146932.1
149927.4,146876.9
148342.2,146674.1
144588.4,147119.6
145000.5,147287.7
152016.2,148866.0
151767.0,150300.6
151482.1,153852.3
153422.1,155761.9
160745.5,157502.0
160479.6,158999.8
158650.2,160993.3
160353.2,162747.1
168321.2,165064.2
168685.7,167094.4
167342.4,169856.8
169466.1,171758.3
176538.2,173322.8
176941.4,175110.6
172167.0,174925.0
172789.9,174821.8
171205.0,168245.8
169626.2,167800.5
170815.3,173796.4
173945.8,175673.3
180227.8,177345.0
180935.5,178889.4
177018.6,180458.3
180649.9,182178.8
186514.5,183592.0
187921.3,185763.9
183227.7,187106.0
185331.3,186665.3
190010.4,186955.5
190394.7,188157.8
184410.3,188779.9
189539.3,190696.0
194495.1,191205.7
192822.2,190566.4
187576.8,192348.7
192855.2,193849.9
198759.5,195248.8
198603.5,196239.0
191071.7,196203.9
196261.8,197086.4
201472.6,197880.4
201742.9,199433.4
194514.9,199764.8
200252.1,200969.6
208302.4,204644.5
206733.2,204494.6
200862.7,206182.8
206719.3,207268.9
211361.0,207729.9
211037.3,208940.1
206191.8,211453.9
213014.1,213522.1
218346.0,214673.3
219621.4,217545.5
212894.3,218211.9
218810.1,219355.0
224252.1,220465.6
222635.4,220595.1
216718.5,222066.1
222306.9,222920.6
228506.9,224585.8
211991.9,210078.6
208083.8,213186.3
212607.8,213222.7
213628.4,209933.1